epoch,lr-AdamW/pg1,lr-AdamW/pg2,step,train/loss_epoch,train/loss_step,train/pcc_epoch,val/loss_epoch,val/pcc_epoch
,9.999971125474002e-06,9.999971125474002e-06,2899,,,,,
,9.999971125474002e-06,9.999971125474002e-06,2899,,,,,
,9.999971125474002e-06,9.999971125474002e-06,2899,,,,,
0,,,2899,,19.89240264892578,,,
,9.999967824310874e-06,9.999967824310874e-06,2949,,,,,
,9.999967824310874e-06,9.999967824310874e-06,2949,,,,,
,9.999967824310874e-06,9.999967824310874e-06,2949,,,,,
0,,,2949,,7.704547882080078,,,
,9.999964344514165e-06,9.999964344514165e-06,2999,,,,,
,9.999964344514165e-06,9.999964344514165e-06,2999,,,,,
,9.999964344514165e-06,9.999964344514165e-06,2999,,,,,
0,,,2999,,17.099245071411133,,,
,9.999960686083998e-06,9.999960686083998e-06,3049,,,,,
,9.999960686083998e-06,9.999960686083998e-06,3049,,,,,
,9.999960686083998e-06,9.999960686083998e-06,3049,,,,,
0,,,3049,,12.511637687683105,,,
,9.999956849020504e-06,9.999956849020504e-06,3099,,,,,
,9.999956849020504e-06,9.999956849020504e-06,3099,,,,,
,9.999956849020504e-06,9.999956849020504e-06,3099,,,,,
0,,,3099,,16.63151741027832,,,
,9.999952833323822e-06,9.999952833323822e-06,3149,,,,,
,9.999952833323822e-06,9.999952833323822e-06,3149,,,,,
,9.999952833323822e-06,9.999952833323822e-06,3149,,,,,
0,,,3149,,22.640432357788086,,,
,9.999948638994093e-06,9.999948638994093e-06,3199,,,,,
,9.999948638994093e-06,9.999948638994093e-06,3199,,,,,
,9.999948638994093e-06,9.999948638994093e-06,3199,,,,,
0,,,3199,,31.698930740356445,,,
,9.999944266031466e-06,9.999944266031466e-06,3249,,,,,
,9.999944266031466e-06,9.999944266031466e-06,3249,,,,,
,9.999944266031466e-06,9.999944266031466e-06,3249,,,,,
0,,,3249,,9.885741233825684,,,
,9.9999397144361e-06,9.9999397144361e-06,3299,,,,,
,9.9999397144361e-06,9.9999397144361e-06,3299,,,,,
,9.9999397144361e-06,9.9999397144361e-06,3299,,,,,
0,,,3299,,22.73952293395996,,,
,9.999934984208156e-06,9.999934984208156e-06,3349,,,,,
,9.999934984208156e-06,9.999934984208156e-06,3349,,,,,
,9.999934984208156e-06,9.999934984208156e-06,3349,,,,,
0,,,3349,,22.603500366210938,,,
,9.999930075347803e-06,9.999930075347803e-06,3399,,,,,
,9.999930075347803e-06,9.999930075347803e-06,3399,,,,,
,9.999930075347803e-06,9.999930075347803e-06,3399,,,,,
0,,,3399,,15.628238677978516,,,
,9.999924987855219e-06,9.999924987855219e-06,3449,,,,,
,9.999924987855219e-06,9.999924987855219e-06,3449,,,,,
,9.999924987855219e-06,9.999924987855219e-06,3449,,,,,
0,,,3449,,6.209613800048828,,,
,9.999919721730582e-06,9.999919721730582e-06,3499,,,,,
,9.999919721730582e-06,9.999919721730582e-06,3499,,,,,
,9.999919721730582e-06,9.999919721730582e-06,3499,,,,,
0,,,3499,,7.416164398193359,,,
,9.999914276974082e-06,9.999914276974082e-06,3549,,,,,
,9.999914276974082e-06,9.999914276974082e-06,3549,,,,,
,9.999914276974082e-06,9.999914276974082e-06,3549,,,,,
0,,,3549,,6.645486354827881,,,
,9.999908653585914e-06,9.999908653585914e-06,3599,,,,,
,9.999908653585914e-06,9.999908653585914e-06,3599,,,,,
,9.999908653585914e-06,9.999908653585914e-06,3599,,,,,
0,,,3599,,19.668245315551758,,,
,9.999902851566277e-06,9.999902851566277e-06,3649,,,,,
,9.999902851566277e-06,9.999902851566277e-06,3649,,,,,
,9.999902851566277e-06,9.999902851566277e-06,3649,,,,,
0,,,3649,,19.8739070892334,,,
,9.99989687091538e-06,9.99989687091538e-06,3699,,,,,
,9.99989687091538e-06,9.99989687091538e-06,3699,,,,,
,9.99989687091538e-06,9.99989687091538e-06,3699,,,,,
0,,,3699,,9.629179000854492,,,
,9.999890711633435e-06,9.999890711633435e-06,3749,,,,,
,9.999890711633435e-06,9.999890711633435e-06,3749,,,,,
,9.999890711633435e-06,9.999890711633435e-06,3749,,,,,
0,,,3749,,18.99294090270996,,,
,9.999884373720666e-06,9.999884373720666e-06,3799,,,,,
,9.999884373720666e-06,9.999884373720666e-06,3799,,,,,
,9.999884373720666e-06,9.999884373720666e-06,3799,,,,,
0,,,3799,,24.395368576049805,,,
,9.999877857177294e-06,9.999877857177294e-06,3849,,,,,
,9.999877857177294e-06,9.999877857177294e-06,3849,,,,,
,9.999877857177294e-06,9.999877857177294e-06,3849,,,,,
0,,,3849,,6.212303161621094,,,
,9.999871162003555e-06,9.999871162003555e-06,3899,,,,,
,9.999871162003555e-06,9.999871162003555e-06,3899,,,,,
,9.999871162003555e-06,9.999871162003555e-06,3899,,,,,
0,,,3899,,20.10502815246582,,,
,9.999864288199688e-06,9.999864288199688e-06,3949,,,,,
,9.999864288199688e-06,9.999864288199688e-06,3949,,,,,
,9.999864288199688e-06,9.999864288199688e-06,3949,,,,,
0,,,3949,,25.911680221557617,,,
,9.999857235765937e-06,9.999857235765937e-06,3999,,,,,
,9.999857235765937e-06,9.999857235765937e-06,3999,,,,,
,9.999857235765937e-06,9.999857235765937e-06,3999,,,,,
0,,,3999,,14.374113082885742,,,
,9.999850004702556e-06,9.999850004702556e-06,4049,,,,,
,9.999850004702556e-06,9.999850004702556e-06,4049,,,,,
,9.999850004702556e-06,9.999850004702556e-06,4049,,,,,
0,,,4049,,9.719962120056152,,,
,9.999842595009804e-06,9.999842595009804e-06,4099,,,,,
,9.999842595009804e-06,9.999842595009804e-06,4099,,,,,
,9.999842595009804e-06,9.999842595009804e-06,4099,,,,,
0,,,4099,,19.558589935302734,,,
,9.999835006687943e-06,9.999835006687943e-06,4149,,,,,
,9.999835006687943e-06,9.999835006687943e-06,4149,,,,,
,9.999835006687943e-06,9.999835006687943e-06,4149,,,,,
0,,,4149,,6.084685802459717,,,
,9.999827239737245e-06,9.999827239737245e-06,4199,,,,,
,9.999827239737245e-06,9.999827239737245e-06,4199,,,,,
,9.999827239737245e-06,9.999827239737245e-06,4199,,,,,
0,,,4199,,12.136164665222168,,,
,9.999819294157989e-06,9.999819294157989e-06,4249,,,,,
,9.999819294157989e-06,9.999819294157989e-06,4249,,,,,
,9.999819294157989e-06,9.999819294157989e-06,4249,,,,,
0,,,4249,,19.0105037689209,,,
,9.999811169950455e-06,9.999811169950455e-06,4299,,,,,
,9.999811169950455e-06,9.999811169950455e-06,4299,,,,,
,9.999811169950455e-06,9.999811169950455e-06,4299,,,,,
0,,,4299,,26.18165397644043,,,
,9.999802867114939e-06,9.999802867114939e-06,4349,,,,,
,9.999802867114939e-06,9.999802867114939e-06,4349,,,,,
,9.999802867114939e-06,9.999802867114939e-06,4349,,,,,
0,,,4349,,15.572417259216309,,,
,9.999794385651733e-06,9.999794385651733e-06,4399,,,,,
,9.999794385651733e-06,9.999794385651733e-06,4399,,,,,
,9.999794385651733e-06,9.999794385651733e-06,4399,,,,,
0,,,4399,,31.01100730895996,,,
,9.999785725561143e-06,9.999785725561143e-06,4449,,,,,
,9.999785725561143e-06,9.999785725561143e-06,4449,,,,,
,9.999785725561143e-06,9.999785725561143e-06,4449,,,,,
0,,,4449,,16.473217010498047,,,
,9.999776886843475e-06,9.999776886843475e-06,4499,,,,,
,9.999776886843475e-06,9.999776886843475e-06,4499,,,,,
,9.999776886843475e-06,9.999776886843475e-06,4499,,,,,
0,,,4499,,14.226353645324707,,,
,9.999767869499048e-06,9.999767869499048e-06,4549,,,,,
,9.999767869499048e-06,9.999767869499048e-06,4549,,,,,
,9.999767869499048e-06,9.999767869499048e-06,4549,,,,,
0,,,4549,,1.3845620155334473,,,
,9.999758673528183e-06,9.999758673528183e-06,4599,,,,,
,9.999758673528183e-06,9.999758673528183e-06,4599,,,,,
,9.999758673528183e-06,9.999758673528183e-06,4599,,,,,
0,,,4599,,22.01549530029297,,,
,9.999749298931208e-06,9.999749298931208e-06,4649,,,,,
,9.999749298931208e-06,9.999749298931208e-06,4649,,,,,
,9.999749298931208e-06,9.999749298931208e-06,4649,,,,,
0,,,4649,,26.75179100036621,,,
,9.999739745708459e-06,9.999739745708459e-06,4699,,,,,
,9.999739745708459e-06,9.999739745708459e-06,4699,,,,,
,9.999739745708459e-06,9.999739745708459e-06,4699,,,,,
0,,,4699,,18.560293197631836,,,
,9.999730013860277e-06,9.999730013860277e-06,4749,,,,,
,9.999730013860277e-06,9.999730013860277e-06,4749,,,,,
,9.999730013860277e-06,9.999730013860277e-06,4749,,,,,
0,,,4749,,17.564680099487305,,,
